9;0;9;20
20;0;9;20
2;0;9;20
30;0;9;20
15;0;9;20
26;0;9;20
50;0;9;20
14;0;9;20
34;0;9;20
9;0;9;20
20;0;9;20
2;0;9;20
30;0;9;20
15;0;9;20
26;0;9;20
50;0;9;20
14;0;9;20
34;0;9;20
9;0;9;20
20;0;9;20
2;0;9;20
30;0;9;20
15;0;9;20
26;0;9;20
50;0;9;20
14;0;9;20
34;0;9;20
9;0;9;20
20;0;9;20
2;0;9;20
30;0;9;20
15;0;9;20
26;0;9;20
50;0;9;20
14;0;9;20
34;0;9;20
20;0;9;20
1;0;9;20
0;0;9;20
23;0;9;20
12;0;9;20
11;0;9;20
45;0;9;20
43;0;9;20
23;0;9;20
12;0;9;20
23;0;9;20
43;0;9;20
4;0;9;20
6;0;9;20
80;0;9;20
85;0;9;20
95;0;9;20
2;0;9;20
13;0;9;20
21;0;9;20
25;0;9;20
44;0;9;20
2;0;9;20
3;0;9;20
3;0;9;20
