9;0;2;9;20
20;0;2;9;20
2;0;2;9;20
30;0;2;9;20
15;0;2;9;20
26;0;2;9;20
50;0;2;9;20
14;0;2;9;20
34;0;2;9;20
1;0;2;9;20
1;0;2;9;20
12;0;2;9;20
23;0;2;9;20
43;0;2;9;20
5;0;2;9;20
3;0;2;9;20
24;0;2;9;20
18;0;2;9;20
15;0;2;9;20
1;0;2;9;20
12;0;2;9;20
5;0;2;9;20
14;0;2;9;20
7;0;2;9;20
8;0;2;9;20
5;0;2;9;20
19;0;2;9;20
0;0;2;9;20
9;0;2;9;20
60;0;2;9;20
64;0;2;9;20
34;0;2;9;20
3;0;2;9;20
67;0;2;9;20
35;0;2;9;20
87;0;2;9;20
90;0;2;9;20
67;0;2;9;20
89;0;2;9;20
51;0;2;9;20
12;0;2;9;20
14;0;2;9;20
13;0;2;9;20
14;0;2;9;20
17;0;2;9;20
76;0;2;9;20
54;0;2;9;20
60;0;2;9;20
41;0;2;9;20
33;0;2;9;20
