9;15;30
20;15;30
2;15;30
30;15;30
15;15;30
26;15;30
50;15;30
14;15;30
34;15;30
9;15;30
20;15;30
2;15;30
30;15;30
34;15;30
9;15;30
2;15;30
23;15;30
43;15;30
4;15;30
6;15;30
80;15;30
85;15;30
95;15;30
2;15;30
13;15;30
21;15;30
25;15;30
44;15;30
2;15;30
3;15;30
3;15;30
23;15;30
1;15;30
44;15;30
25;15;30
43;15;30
2;15;30
15;15;30
6;15;30
10;15;30
24;15;30
20;15;30
2;15;30
30;15;30
15;15;30
26;15;30
50;15;30
14;15;30
34;15;30
9;15;30
20;15;30
2;15;30
30;15;30
15;15;30
26;15;30
50;15;30
14;15;30
34;15;30
20;15;30
1;15;30
0;15;30
